6.680376, 53.377621, -11.362963
6.576199, 37.534313, -12.726621
6.843295, 29.507439, -14.046920
5.700446, 24.308016, -15.407490
5.595550, 20.681917, -16.721357
6.004794, 18.021862, -17.933413
5.789569, 15.876670, -19.082312
6.974460, 14.247507, -20.004169
6.351423, 12.777098, -20.891266
5.373205, 11.378408, -21.784088
5.132601, 10.108979, -22.564732
5.384463, 8.996525, -23.164356
5.433358, 7.997857, -23.598106
5.389581, 7.090748, -23.883888
7.137849, 6.454355, -23.727648
6.175865, 5.787915, -23.635370
6.385280, 5.215238, -23.381451
6.445105, 4.715228, -23.019979
6.167166, 4.248033, -22.628342
5.775033, 3.799208, -22.224775
6.253490, 3.457583, -21.666899
6.010457, 3.140644, -21.104450
5.786630, 2.847704, -20.530659
6.845449, 2.708396, -19.757540
5.379510, 2.451276, -19.218542
6.301991, 2.327395, -18.497793
5.644428, 2.165591, -17.888662
7.050465, 2.175098, -17.062325
5.408343, 2.037462, -16.495237
6.205403, 2.004116, -15.817451
5.776560, 1.945634, -15.229548
7.114416, 2.034042, -14.478117
5.853332, 2.007613, -13.918992
6.080414, 2.015721, -13.351719
6.365071, 2.060205, -12.770329
6.413213, 2.115679, -12.199507
6.235275, 2.159880, -11.687486
7.231619, 2.299016, -11.088289
5.948587, 2.321662, -10.657241
6.669958, 2.413278, -10.165026
6.775723, 2.514518, -9.684987
6.290209, 2.573335, -9.286397
7.078402, 2.700716, -8.826235
5.887936, 2.725250, -8.505323
6.140720, 2.773986, -8.171875
7.362936, 2.924119, -7.749872
6.774608, 3.021461, -7.404172
6.349120, 3.082704, -7.110637
6.276873, 3.138230, -6.834161
6.858437, 3.239254, -6.528141
6.464981, 3.307317, -6.255795
7.410505, 3.446644, -5.939876
5.815320, 3.460496, -5.749879
6.812161, 3.550864, -5.492857
6.779193, 3.636517, -5.247927
7.122004, 3.745116, -4.993058
6.454067, 3.802049, -4.790716
5.945066, 3.822094, -4.627603
6.692887, 3.896544, -4.427351
5.929214, 3.915698, -4.286808
5.806343, 3.927652, -4.145485
6.600888, 3.995954, -3.973370
7.589503, 4.130027, -3.757886
6.998890, 4.219062, -3.576672
7.139542, 4.314903, -3.395955
6.238321, 4.347914, -3.266941
6.828977, 4.420177, -3.112517
5.974780, 4.434768, -3.013140
5.930950, 4.447512, -2.919044
6.018204, 4.466926, -2.822151
5.849060, 4.476187, -2.738497
5.815059, 4.484475, -2.651602
6.072422, 4.510326, -2.550450
7.325596, 4.614987, -2.403757
7.053127, 4.699098, -2.279064
7.028917, 4.779076, -2.157622
5.946961, 4.790382, -2.077532
6.810420, 4.855479, -1.961830
5.919813, 4.865112, -1.888654
6.712841, 4.923527, -1.793503
6.946637, 4.994522, -1.691394
5.913877, 5.002028, -1.625253
7.819987, 5.123743, -1.485773
7.609911, 5.228971, -1.359383
7.835598, 5.344133, -1.228471
7.591080, 5.441227, -1.112693
5.868323, 5.434878, -1.079202
7.057784, 5.498812, -0.990153
6.206263, 5.511984, -0.938782
7.716053, 5.612350, -0.839258
6.618191, 5.646492, -0.780078
7.068860, 5.705853, -0.704746
7.294775, 5.776576, -0.618647
6.991616, 5.828106, -0.556206
6.548590, 5.853216, -0.515103
7.103942, 5.909186, -0.453934
7.455618, 5.983284, -0.379102
6.040842, 5.976027, -0.357946
7.646477, 6.059159, -0.284063
7.736543, 6.144521, -0.208937
7.958868, 6.239357, -0.128244
7.816733, 6.323072, -0.059564
7.353761, 6.378492, -0.002315
6.357936, 6.377545, 0.014540
7.817897, 6.457345, 0.091335
7.349414, 6.509112, 0.147094
7.318959, 6.557870, 0.200242
7.471240, 6.613664, 0.255321
6.737554, 6.628019, 0.285644
6.238322, 6.615269, 0.293137
6.547313, 6.620193, 0.310863
7.131372, 6.656871, 0.342556
6.680084, 6.668155, 0.364772
7.568537, 6.727428, 0.421721
7.082967, 6.758828, 0.453840
8.038636, 6.840796, 0.517641
6.832702, 6.855304, 0.534163
7.039027, 6.880738, 0.569447
6.869886, 6.896625, 0.589571
7.856487, 6.965036, 0.645955
7.550952, 7.014976, 0.686644
7.173872, 7.043309, 0.716429
7.644175, 7.096045, 0.761958
7.473646, 7.138194, 0.802504
7.067967, 7.157535, 0.819090
7.597873, 7.204474, 0.852567
6.954232, 7.215805, 0.871140
7.488212, 7.255286, 0.899431
7.741459, 7.306946, 0.938847
7.770877, 7.358557, 0.979405
8.141829, 7.428088, 1.022631
7.616261, 7.467462, 1.053665
7.384882, 7.493449, 1.078784
6.850994, 7.490435, 1.074642
